id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/qeBItnhy4Y0"", ""Link"")",Episode,28:38,LMST,12/01/1967,A,,1,1,slaveofavampire
"=HYPERLINK(""https://youtu.be/ov3htP_cHRc"", ""Link"")",Episode,28:37,LMST,12/01/1967,A,,1,1,classicsoapoperas
"=HYPERLINK(""https://youtu.be/jjr5dmFwftg"", ""Link"")",Episode,28:08:00,LMST,08/21/1970,A,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/3v4PvfmyOWA"", ""Link"")",Episode - No Sound,07:43,LMST,03/01/1973,A,,1,1,robwargo
